STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060921,69,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060922,71,58
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060923,73,60
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060924,66,57
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060925,73,52
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060926,71,60
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060927,69,55
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060928,60,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060929,61,48
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060930,69,53
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061001,74,53
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061002,76,69
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061003,79,61
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061004,77,57
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061005,58,55
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061006,58,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061007,67,49
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061008,74,53
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061009,65,54
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061010,59,55
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061011,57,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061012,41,32
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061013,52,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061014,52,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061015,54,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061016,56,49
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061017,58,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061018,63,45
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061019,46,40
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061020,54,39
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061021,61,50
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061022,50,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061023,43,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061024,49,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061025,53,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061026,48,44
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061027,47,43
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061028,53,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061029,55,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061030,70,49
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061031,63,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061101,43,33
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061102,35,29
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061103,42,26
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061104,48,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061105,54,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061106,54,46
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061107,53,44
